pubdate,aid,arcurl,title,play,review,favorites,danmaku,like,duration_minutes
2019-03-29,47660708,http://www.bilibili.com/video/av47660708,用沙雕的方式打开坤坤打篮球,1060026,1940,15739,4402,28263,1.77
2019-03-29,47652344,http://www.bilibili.com/video/av47652344,蔡徐坤美国校队之战单挑视频流出，喷子们集体沉默，哑口无言！,3525442,4049,6013,8055,27782,1.88
2019-03-29,47654003,http://www.bilibili.com/video/av47654003,蔡徐鲲  &quot;鸡你太美&quot;rap完整版,1471307,1951,9902,6250,15797,1.57
2019-03-30,47731203,http://www.bilibili.com/video/av47731203,蔡徐坤打球鬼畜版，蔡徐坤小姐姐你太可爱啦！视频结尾5秒有？？？,1897965,1341,10373,1718,25374,1.05
2019-03-30,47794905,http://www.bilibili.com/video/av47794905,（鸡你太美）作死向学校广播室点蔡徐坤成名曲,1864693,1752,2429,1836,8116,1.57
2019-03-31,47939987,http://www.bilibili.com/video/av47939987,在老板面前跳蔡徐坤的舞！,1777121,7445,8350,17313,71875,4.07
2019-03-31,47923981,http://www.bilibili.com/video/av47923981,远古视频,1650510,8331,2837,14036,15777,6.4
2019-04-01,47935041,http://www.bilibili.com/video/av47935041,手绘1000帧！加长版鸡你太美！完美还原蔡徐坤打篮球！,1719138,3544,36313,4674,111630,1.57
2019-04-01,47979370,http://www.bilibili.com/video/av47979370,五五开-打篮球视频,2686780,4815,54436,4583,94375,1.0
2019-04-02,48078985,http://www.bilibili.com/video/av48078985,【蔡徐坤】喷子黑子来看看！蔡徐坤初中毕业大秀街舞！这是他五年前的舞蹈！,1534433,4727,2862,4294,31262,2.53
2019-04-03,48126612,http://www.bilibili.com/video/av48126612,上课手绘500页！一整本书！还原蔡徐坤鸡你太美！,1098257,2012,29268,1645,116278,1.02
2019-04-04,48235122,http://www.bilibili.com/video/av48235122,蔡馆长打篮球突然跳起了鸡你太美,1346450,2350,16009,3780,34020,1.0
2019-04-04,48231038,http://www.bilibili.com/video/av48231038,终于找到这首《Halo》的现场版了，太燃了，不愧是天后！,1121698,397,5976,1208,7661,3.27
2019-04-05,48343927,http://www.bilibili.com/video/av48343927,把抖音用烂的BGM配上蔡徐坤，逼格瞬间高大上！,2795608,3809,48807,10054,139305,2.08
2019-04-05,48368873,http://www.bilibili.com/video/av48368873,【万恶之坤/90W播放】坤坤的各种高能乱入TOP01,998474,1543,26529,5062,36688,5.27
2019-04-05,48310605,http://www.bilibili.com/video/av48310605,你打球好像33娘啊！,1678418,2414,23274,7022,63818,1.48
2019-04-05,48380566,http://www.bilibili.com/video/av48380566,蔡徐坤原版，鸡你太美～,4868076,7785,10477,12083,44501,2.38
2019-04-05,48311783,http://www.bilibili.com/video/av48311783,我叫黑虎阿鲲，你们准备受死吧！,2696990,5693,101952,12358,212323,1.8
2019-04-05,48348061,http://www.bilibili.com/video/av48348061,【蔡徐坤】能坚持看完！不笑抽了不算！,3038255,2837,13913,10708,34996,3.38
2019-04-05,48312629,http://www.bilibili.com/video/av48312629,我竟然用蔡徐坤打了一局王者荣耀？？？,1818876,950,5900,2925,16802,2.07
2019-04-05,48267546,http://www.bilibili.com/video/av48267546,只狼也要模仿蔡徐坤打篮球！爆肝Key3天1000帧！你打蔡徐坤像只狼 @特效小哥,1114639,1900,22346,2608,52203,1.87
2019-04-06,48446909,http://www.bilibili.com/video/av48446909,当百万调音师遇上蔡徐坤“鸡你太美”,1348748,2704,24216,8912,65106,1.45
2019-04-07,48604568,http://www.bilibili.com/video/av48604568,蔡徐坤参加李云龙独立团选秀,1299752,2330,20629,5217,44099,2.32
2019-04-08,48713927,http://www.bilibili.com/video/av48713927,大司马和卢本伟 谁打篮球更像蔡徐坤？谁更美？,2038785,3358,45661,9471,146277,2.02
2019-04-08,48745865,http://www.bilibili.com/video/av48745865,当你潜入蔡徐坤粉丝群，竟发现全是友军!?(ﾟ〇ﾟ ;)呃!?,1974342,3603,3117,5000,13902,1.67
2019-04-09,48790675,http://www.bilibili.com/video/av48790675,蔡徐坤打球本质是二人转，换个二手玫瑰BGM画风和谐（哎呀！我说命运呀~）,1666539,1246,7921,4902,22284,1.87
2019-04-09,48828477,http://www.bilibili.com/video/av48828477,【蔡徐坤】放荡不羁电音之舞,14471589,28943,242889,85593,590324,1.87
2019-04-09,48743062,http://www.bilibili.com/video/av48743062,守望先锋新英雄：菜虚鲲 英雄介绍,1947966,3172,24076,2781,72731,1.6
2019-04-09,48804637,http://www.bilibili.com/video/av48804637,灭霸教你打篮球,3078242,2175,12965,5963,37084,0.98
2019-04-09,48788630,http://www.bilibili.com/video/av48788630,蔡徐坤被篮球暴打,4882850,14813,128100,15828,215152,0.95
2019-04-09,48807034,http://www.bilibili.com/video/av48807034,三年动画 鸡你太美蔡徐鲲,1175899,1049,7782,2398,19126,1.63
2019-04-09,48848952,http://www.bilibili.com/video/av48848952,我是学习忍术两年半的蔡徐坤,1539578,2193,9342,4237,22272,1.55
2019-04-11,49023234,http://www.bilibili.com/video/av49023234,手动一千帧抠图  当蔡徐坤加入银河护卫队,2391296,3297,34636,3631,121300,0.93
2019-04-11,49016287,http://www.bilibili.com/video/av49016287,鸡你太美，蔡徐坤就打个鸡,4412925,2356,18048,6862,42910,0.92
2019-04-11,48996372,http://www.bilibili.com/video/av48996372,选手模仿蔡徐坤打篮球，评委:NBA像你这么打，明天就要解散了。,2048663,3771,10883,3103,33924,1.12
2019-04-11,49025651,http://www.bilibili.com/video/av49025651,用各种各样的方式打开蔡徐坤#1,1843904,1069,17850,12932,55673,4.07
2019-04-12,49103211,http://www.bilibili.com/video/av49103211,【六小龄童vs蔡徐坤】回应被b站鬼畜的反应，高下立判，什么叫老艺术家啊？,3227405,16034,7050,16398,32051,1.08
2019-04-12,49097118,http://www.bilibili.com/video/av49097118,救命！为什么整个b站都是蔡徐坤打篮球！【翼刀的沙雕日常】,1287524,7426,26659,16594,111869,5.78
2019-04-12,49060183,http://www.bilibili.com/video/av49060183,【蔡徐坤】黑人小哥与坤坤比舞,593855,2678,10875,2012,31713,1.13
2019-04-13,49184123,http://www.bilibili.com/video/av49184123,泼恨南飞！梁逸峰原版素材,2615781,2984,15755,2670,20501,11.63
2019-04-13,49126533,http://www.bilibili.com/video/av49126533,【鸡你太美】菜虚鲲的反击,2868626,4556,29147,11728,66801,4.03
2019-04-13,48967832,http://www.bilibili.com/video/av48967832,篮  球  人（高技术力）,2536644,4250,64109,7824,133827,3.6
2019-04-13,49138107,http://www.bilibili.com/video/av49138107,【蔡徐坤】毛不易回怼张绍刚，“你觉得蔡徐坤靠什么呢”,2670293,4314,9795,8542,45952,2.5
2019-04-13,49158132,http://www.bilibili.com/video/av49158132,蔡徐坤：“其实，铠甲勇士才是我的真实身份。”,2164873,1110,13092,4916,33536,1.37
2019-04-13,49138867,http://www.bilibili.com/video/av49138867,蔡徐坤发律师函了，B站的回复我们都哭了,2472441,4943,5780,2977,32790,0.72
2019-04-14,49342198,http://www.bilibili.com/video/av49342198,【鸡你太美】欢乐斗地主,2190747,4960,28380,6741,80701,1.23
2019-04-14,49273819,http://www.bilibili.com/video/av49273819,蔡徐坤对b站发了律师函？？我决定向蔡徐坤道歉！！,659112,4217,5534,6125,39290,3.18
2019-04-14,49249061,http://www.bilibili.com/video/av49249061,【律师函警告】蔡徐坤跳书记舞,788224,3584,10527,3180,30478,1.53
2019-04-14,49241620,http://www.bilibili.com/video/av49241620,蔡徐坤律师函ikun的反击,957976,6313,9616,3086,45590,0.78
2019-04-14,49365731,http://www.bilibili.com/video/av49365731,【律师函警告】《当蔡徐坤给B站发律师函》,1507529,6343,35821,8315,106009,3.45
2019-04-14,49309210,http://www.bilibili.com/video/av49309210,大型模仿蔡徐鲲~鸡你太美警告！————北理工,3546537,6821,31846,9121,94501,1.53
2019-04-14,49289731,http://www.bilibili.com/video/av49289731,哔哩哔哩回应蔡徐坤律师函,2903359,5204,4761,12443,24190,1.15
2019-04-15,49413773,http://www.bilibili.com/video/av49413773,当硬汉吴京看到蔡徐坤打篮球,3281105,1157,11797,2928,40673,0.85
2019-04-15,49418864,http://www.bilibili.com/video/av49418864,坤坤.MLG,725073,1683,12899,3395,33350,1.1
2019-04-15,49412594,http://www.bilibili.com/video/av49412594,全网唯一将蔡徐坤“鸡你太美”融入实战的两位男人，效果拔群！,3124251,387,2996,200,32084,0.38
2019-04-15,49445815,http://www.bilibili.com/video/av49445815,其他明星知道自己被鬼畜后VS蔡徐坤律师函警告,2681863,3142,30682,15599,75707,3.95
2019-04-15,49432951,http://www.bilibili.com/video/av49432951,饭圈把B站污染成什么样了？致那些以爱之名捧杀自己爱豆的饭圈人们,3573946,25295,73751,189826,271624,8.0
2019-04-15,49313960,http://www.bilibili.com/video/av49313960,蹭蔡徐坤热度的视频收益 我决定全部捐给慈善机构 蔡徐坤给b站发律师函 你怎么看？,1441698,6475,9517,8853,129691,5.77
2019-04-15,49424145,http://www.bilibili.com/video/av49424145,学校运动会，全校模仿蔡徐坤打篮球！,1852998,681,3077,1092,17507,0.58
2019-04-16,49521590,http://www.bilibili.com/video/av49521590,【鸡你太美】一边值日一边做广播体操,1359930,1761,27198,8078,55328,2.63
2019-04-16,49513115,http://www.bilibili.com/video/av49513115,【蔡徐坤的复仇】IKUN最强大,1058843,2489,31111,6741,64629,1.77
2019-04-16,49470985,http://www.bilibili.com/video/av49470985,【鸡你太美】王妃,4436598,9050,130896,34177,431169,3.03
2019-04-16,49550373,http://www.bilibili.com/video/av49550373,【星】当蔡徐坤变成了最高的马赛克…,662838,314,3130,555,19019,0.95
2019-04-16,49496779,http://www.bilibili.com/video/av49496779,啊~别人的世界你太美！,1346281,1629,14006,2249,41342,1.0
2019-04-16,49557291,http://www.bilibili.com/video/av49557291,B站的朋友大家好！我是ikun的：“真粉”！我要最后一次警告你们！,933062,3471,3635,5928,20162,1.52
2019-04-16,49559595,http://www.bilibili.com/video/av49559595,蔡徐坤原版无特效打篮球视频,10719492,10169,101520,13481,222567,1.18
2019-04-16,49462006,http://www.bilibili.com/video/av49462006,鸡你太...人呢？,1008305,3415,27744,5488,63983,1.42
2019-04-17,49628273,http://www.bilibili.com/video/av49628273,鲲鲲打黑洞穿越惨遭视觉中国版权警告,2881690,3839,79711,14872,146841,3.0
2019-04-17,49592269,http://www.bilibili.com/video/av49592269,究竟鸡你太美是抄袭还是被抄袭，两首太像了,1228914,1153,6966,2225,23767,1.25
2019-04-17,49598855,http://www.bilibili.com/video/av49598855,为KUN证明，蔡徐坤美国校队队照被扒出！怒打众up耳光！,1159907,3867,1012,3084,6128,1.58
2019-04-17,49614430,http://www.bilibili.com/video/av49614430,同时引爆全部&quot;核弹&quot;能不能鸡你太美？【小潮院长 | 直播录像】,1379674,642,6710,3905,20084,4.77
2019-04-18,49740215,http://www.bilibili.com/video/av49740215,【高能】国服最强蔡徐坤模仿惊现大学课堂！！,1428085,1323,8723,2750,36507,2.27
2019-04-18,49687480,http://www.bilibili.com/video/av49687480,蔡徐坤？律师函？再说一次，谢广坤才是真正的坤坤——来自坤坤粉丝的采访,621135,1299,5043,2508,33113,3.43
2019-04-18,49739026,http://www.bilibili.com/video/av49739026,【美人鱼名场面】我没在开玩笑！我在球场遇到了坤坤！,1190661,1129,23503,6111,48059,4.63
2019-04-18,49733388,http://www.bilibili.com/video/av49733388,【UP主线下聚会】当女装UP进入男澡堂会发生什么#day1,2089604,1072,9919,4788,30555,4.92
2019-04-18,49684530,http://www.bilibili.com/video/av49684530,【主播真会玩八卦篇】75：坤坤一纸诉状告B站，万物皆归视觉中国,881010,3182,8718,5939,48507,8.12
2019-04-19,49760945,http://www.bilibili.com/video/av49760945,司马懿在空城前被高超的球技吓退,1939227,1922,48696,8102,97176,1.75
2019-04-19,49813244,http://www.bilibili.com/video/av49813244,【鸡你太美】灭霸与坤坤同归于尽？,1528974,1054,18338,6110,34646,2.02
2019-04-19,49825267,http://www.bilibili.com/video/av49825267,当六小龄童看蔡徐坤跳舞场面一度尴尬,4520578,1872,13426,5531,52092,1.08
2019-04-20,49951859,http://www.bilibili.com/video/av49951859,蔡徐坤早期竟是TFBOYS成员,733046,1756,2772,7157,6115,2.28
2019-04-20,49816883,http://www.bilibili.com/video/av49816883,被大20岁富婆看上？！相亲角到底是怎么样的？,2652890,24612,17771,18231,101299,8.08
2019-04-20,49868991,http://www.bilibili.com/video/av49868991,【特效向】蔡徐坤VS全明星,15495693,8273,337852,33198,671185,2.67
2019-04-20,49934857,http://www.bilibili.com/video/av49934857,【我不是蔡徐坤】双重律师函警告，六小龄童教你耍金箍棒！！,1175733,1778,17743,3356,37216,0.98
2019-04-20,49984981,http://www.bilibili.com/video/av49984981,再玩一次不玩了,2403559,1129,26317,1351,71832,0.37
2019-04-20,49958356,http://www.bilibili.com/video/av49958356,【女装大佬】在宿舍女装  宿管老师突然进来,2049543,1251,11434,2236,59394,1.78
2019-04-22,50183113,http://www.bilibili.com/video/av50183113,鸡你太美  原版视频,4397523,2599,73850,8701,106652,0.98
2019-04-22,50148062,http://www.bilibili.com/video/av50148062,蔡徐坤鸡你太美…滑落的背带注入灵魂。又疯了一个舞蹈区up,1975997,1204,7053,1805,23663,1.0
2019-04-23,50280628,http://www.bilibili.com/video/av50280628,国际自行车慢骑比赛，谁骑过起点谁就输了,2271976,504,4192,677,34826,1.4
2019-04-25,50391375,http://www.bilibili.com/video/av50391375,【蔡徐坤】Something Just Like This,1882390,2845,46820,8376,85607,2.52
2019-04-25,50425386,http://www.bilibili.com/video/av50425386,【恶搞】近日，警方抓捕了一名恶搞坤坤的up主。专家称这是瘾。,7772836,5695,91276,31018,393993,3.05
2019-04-26,50521905,http://www.bilibili.com/video/av50521905,【圆肥白】答应大家女装上街跳书记舞，我做到了！,1298964,2722,14349,12489,97823,8.52
2019-04-27,50675645,http://www.bilibili.com/video/av50675645,【亿万特效】我是练习发函两年半的格斗之王蔡徐坤（上）,2422020,1512,36418,3212,90761,1.52
2019-04-28,50749787,http://www.bilibili.com/video/av50749787,【小潮】慎点！哈哈哈哈笑死了，不笑打死我，逗比欢乐多,4091288,854,26708,4112,97720,2.3
2019-04-29,50809138,http://www.bilibili.com/video/av50809138,【鸡】演奏鸡你太美,5244768,6301,89445,11994,259738,1.57
2019-04-29,50858488,http://www.bilibili.com/video/av50858488,全公司都知道我是UP主后....,1927509,2388,9848,6454,115596,4.62
2019-04-30,50913318,http://www.bilibili.com/video/av50913318,当运动会上响起“鸡你太美”,3244827,1554,11574,6523,114085,2.47
2019-04-30,50838255,http://www.bilibili.com/video/av50838255,曹操的百万大军被高超的球技吓退,6452797,3626,105533,22268,212708,2.93
2019-04-30,50908861,http://www.bilibili.com/video/av50908861,鲲鲲的庭审现场录像找到了！你打官司像......【幽灵电台#08】,702519,780,10367,2658,34142,2.97
2019-05-01,51001926,http://www.bilibili.com/video/av51001926,【全明星】我是练习鬼畜两年半的电音之王,2307473,3033,72333,14789,207304,3.7
2019-05-02,51211212,http://www.bilibili.com/video/av51211212,某人cos蔡徐坤 去漫展打球,5899070,1706,19551,3130,105053,0.42
2019-05-02,51199752,http://www.bilibili.com/video/av51199752,男子参加选秀模仿蔡徐鲲打篮球，惊呆了观众评委...,6836731,6717,134101,23454,503279,2.67
2019-05-02,51229164,http://www.bilibili.com/video/av51229164,午  夜  鲲  铃,7265856,1941,20675,8947,79119,0.43
2019-05-03,51330169,http://www.bilibili.com/video/av51330169,冒死点开蔡徐坤的抖音会发生什么？,2315844,2748,2821,4287,17606,1.68
2019-05-03,51291321,http://www.bilibili.com/video/av51291321,【蔡徐坤】狂妄之鸡,2492655,1774,58573,8639,93753,1.98
2019-05-03,51335134,http://www.bilibili.com/video/av51335134,【鬼畜大作】复仇者联盟 第四集,1111405,1269,17571,4002,33796,6.02
2019-05-03,51228841,http://www.bilibili.com/video/av51228841,【亿万特效】我是练习两年半的格斗之王蔡徐坤（下）,1698804,1111,24106,2794,90083,1.97
2019-05-03,51257802,http://www.bilibili.com/video/av51257802,漫展偶遇高配蔡徐坤 律师函警告,2227252,1190,4360,1570,25300,1.33
2019-05-04,51442604,http://www.bilibili.com/video/av51442604,你这鲲鲲已经会勾引人？,9004053,12057,271905,54607,619692,2.8
2019-05-05,51586668,http://www.bilibili.com/video/av51586668,坤 坤 历 险 记,1615152,1054,29115,2168,55315,0.85
2019-05-05,51570615,http://www.bilibili.com/video/av51570615,用3000根火柴绘成坤坤打篮球，点燃的那一瞬间，鸡你太美！,8649562,8317,81203,52907,371944,3.45
2019-05-08,51818204,http://www.bilibili.com/video/av51818204,只因你太美（鸡你太美）原版,22587938,15811,231345,24547,483764,1.0
2019-05-09,51861763,http://www.bilibili.com/video/av51861763,【烂篮球】bad basketball,2043424,2565,42169,3921,101463,1.98
2019-05-10,52017564,http://www.bilibili.com/video/av52017564,当蔡徐坤穿越到《我的世界》生存,12205563,3289,133671,39671,233006,3.53
2019-05-10,51969132,http://www.bilibili.com/video/av51969132,【经典老番】坤坤的奇妙冒险:幻影鸡血,1077801,716,17715,1145,28422,1.52
2019-05-10,51945746,http://www.bilibili.com/video/av51945746,王司徒在阵前竟被美妙的音乐吓倒,1524953,1434,31299,6655,60935,3.87
2019-05-13,52331731,http://www.bilibili.com/video/av52331731,【经典童年番】黑鸡警长,2557940,1922,70086,6815,118414,1.78
2019-05-13,52333086,http://www.bilibili.com/video/av52333086,小米发布会播放菜虚鲲视频，雷军都笑了,2892344,659,6864,2845,30022,1.22
2019-05-13,52371938,http://www.bilibili.com/video/av52371938,作死在学校广播室放鸡你太美续集，大家都沸腾了！,4653240,2243,26737,7245,121589,3.97
2019-05-13,52295559,http://www.bilibili.com/video/av52295559,【蔡徐坤】鸡如止水.,1548216,952,22200,3433,52032,2.23
2019-05-14,52418659,http://www.bilibili.com/video/av52418659,【蔡徐坤】鲲出没(熊出没),1133841,440,12656,1620,18726,1.37
2019-05-15,52530904,http://www.bilibili.com/video/av52530904,午 夜 鲲 铃,10138562,9882,188105,70204,467109,4.02
2019-05-18,52769811,http://www.bilibili.com/video/av52769811,中国boy的赞美能换到啥?以物换物第二期！,1934748,2466,34200,15059,92037,12.28
2019-05-19,52889941,http://www.bilibili.com/video/av52889941,用蔡徐坤的方式打开猫和老鼠【最终加长版】,2586679,789,30930,8174,54388,6.0
2019-05-23,53347911,http://www.bilibili.com/video/av53347911,鬼畜区UP被ikun骂到自闭（读私信）,5347092,28119,76063,142223,440719,9.95
2019-05-24,53424854,http://www.bilibili.com/video/av53424854,练习时长两年半的雷神,625616,396,3625,1334,8634,0.93
2019-05-25,53603994,http://www.bilibili.com/video/av53603994,【剧情向】坤坤的高考,900528,1117,18744,3335,46078,2.75
2019-05-25,53565047,http://www.bilibili.com/video/av53565047,【搞笑】当作死小伙把英语听力改成了鸡你太美...,1938946,2093,25235,8715,116307,6.42
2019-05-28,53853214,http://www.bilibili.com/video/av53853214,偶遇蔡徐坤,2827862,671,7484,483,40247,0.27
2019-05-30,53901946,http://www.bilibili.com/video/av53901946,当蔡徐坤当上十三路公交车第一任司机,1590434,1819,21017,1370,44172,1.0
2019-05-30,54099894,http://www.bilibili.com/video/av54099894,当速转X弩遇到速转X弩会发生什么?（场面极其混乱）,1619511,1067,3288,2764,106529,4.85
2019-05-31,54081423,http://www.bilibili.com/video/av54081423,新坤凡故事2019,793922,2082,15534,3643,44212,4.35
2019-05-31,54149545,http://www.bilibili.com/video/av54149545,硬汉吴京模仿蔡徐坤打篮球！只因太美~,1949904,1611,4852,1490,19303,1.65
2019-06-05,54611427,http://www.bilibili.com/video/av54611427,网易官方鬼畜？律师函警告,1194451,841,6160,2847,19776,1.6
2019-06-06,54715989,http://www.bilibili.com/video/av54715989,【鲲曲】童年,3291234,3778,86452,17297,167540,2.25
2019-06-06,54681743,http://www.bilibili.com/video/av54681743,在毕业晚会上唱跳只因你太美，整个宿舍区都沸腾了！,3081764,2892,21580,7666,141902,7.43
2019-06-06,54677301,http://www.bilibili.com/video/av54677301,卧槽，蔡徐坤的脸怎么变成这样了，央视镜头中的脸啊！,3977149,6949,4173,22173,29342,5.45
2019-06-07,54798521,http://www.bilibili.com/video/av54798521,离校晚会上跳鸡你太美轰动全场,1082345,3201,14391,3114,48422,2.95
